,Contents,Results
0,Landing pads for transgene insertion. A nice example here in tomato. ,0
1,"The DFR locus: A smart landing pad for targeted transgene insertion in tomato (coll IJPB, SPS) | @scoopit https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0208395&utm_medium=social&utm_source=twitter …",0
2,"The DFR locus: A smart landing pad for targeted transgene insertion in tomato (coll IJPB, SPS) | @scoopit",0
3,Nucleotide sequence and pharmaceutical composition based thereon with prolonged VEGF transgene expression ,0
4,Very happy to share our first paper on genome editing by CRISPR-Cas9. Deletion and reconstruction with targeted insertion of the DFR gene in tomato through HDR. The DFR locus: A smart landing pad for targeted transgene insertion in tomato http://dx.plos.org/10.1371/journal.pone.0208395 …,0
5,"weirdly no, I think that the transgene is slowing down growth.",0
6,Fock state-based method for ultraluminous transgene,0
7,#Transgene Announces Upcoming #InvestorMeetings $TNG http://www.1stoncology.com/blog/transgene-announces-upcoming-investor-meetings …,0
8,"Thank you for speaking up, Doctor. It is frustrating to see two movements - often the same people in both - fighting to restrict both pesticides and the transgene crops that could make them obsolete when so many lives depend on global food production.",1
9,Research – bioRxiv Pre-print – Use of MYB as a new synthetic activator to enhance transgene expression within repressed Polycomb chromatin https://hayneslabasu.wordpress.com/2018/12/05/research-biorxiv-pre-print-use-of-myb-as-a-new-synthetic-activator-to-enhance-transgene-expression-within-repressed-polycomb-chromatin/ …,1
10,Transgene $TNG.pa Announces Upcoming Investor Meetings,0
11,"@TransgeneSA announces upcoming investor meetings.
http://ow.ly/5lVc30mShJI ",0
12,B cells inhibit bone formation in #rheumatoidarthritis by suppressing osteoblast differentiation - in transgene mice; is this #RA?  #precisionMedicine #lifesciences #research https://go.nature.com/2Sqxnvy ,0
13,#tisagenlecleucel follow-up transgene levels do not appear to be associated with response or duration of response for #ALL or #DLBCL so are not currently reliable enough for clinical decisions relating to consolidation therapy including #BMT #ASH18,1
14,"Waller presents data on qPCR for CAR transgene and B-cell aplasia in recipients of tisagenlecleucel; loss of detectable transgene not reliably predictive of relapse. Peak levels tend to be higher in responders as well, but lots of overlap in distributions.
#ASH18 #cart",0
